,0,1,2,3,4,5,6,7,8,9
0,0.025014644488692284,0.025009820237755775,0.025010643526911736,0.02501359023153782,0.02500779554247856,0.02501247078180313,0.025009362027049065,0.02501353994011879,0.26179617643356323,0.5381119847297668
1,0.025006644427776337,0.02500704675912857,0.025006139650940895,0.025013497099280357,0.02500547468662262,0.774931013584137,0.025005796924233437,0.02500566840171814,0.025007810443639755,0.025010859593749046
2,,,,0.7234882116317749,,0.12459123134613037,0.13726963102817535,,,
3,,,,,0.38379719853401184,0.182212233543396,0.41612836718559265,,,
4,,,,0.9692620635032654,,,,,,
5,,0.7526136636734009,,0.20523884892463684,,,,,,
6,,,,0.37043920159339905,,,0.1449938714504242,,,0.46578145027160645
7,0.18566875159740448,0.6663910150527954,0.0184920821338892,0.01849290542304516,0.018492089584469795,0.01849326118826866,0.018492108210921288,0.018493350595235825,0.018492553383111954,0.018491921946406364
8,0.015433087013661861,0.8610954880714417,0.015433242544531822,0.0154434097930789,0.015431778505444527,0.015438972041010857,0.01543140783905983,0.015430213883519173,0.015430533327162266,0.015431842766702175
9,,,,0.03628212586045265,,,,,,0.9547613263130188
10,,,,,,0.4247800409793854,,,0.4330167770385742,0.10495453327894211
11,,,,0.2857508063316345,,,0.3362099230289459,,,0.30845922231674194
12,0.01667182520031929,0.01667243428528309,0.016676904633641243,0.8499370217323303,0.01667141169309616,0.016672972589731216,0.016680480912327766,0.016672972589731216,0.016672031953930855,0.016671989113092422
13,,,0.1010061651468277,0.02816164679825306,,0.805182158946991,0.055848073214292526,,,
14,0.6605188846588135,,,0.19570916891098022,,,,,0.10261289775371552,
15,0.011138487607240677,0.8997565507888794,0.011139867827296257,0.011137792840600014,0.011137647554278374,0.01113843359053135,0.011136622168123722,0.0111354636028409,0.011141419410705566,0.011137688532471657
16,,,,0.05575963482260704,0.15843144059181213,,,,,0.7446086406707764
17,,,,0.49714329838752747,,,0.4241427779197693,,,
18,0.03333755210042,0.03333759680390358,0.03333602845668793,0.699962317943573,0.03333676978945732,0.03334080055356026,0.03333703801035881,0.03333716839551926,0.03333878144621849,0.03333592414855957
19,,,,,0.937229335308075,,,,,
20,,,,0.9170334339141846,,,,,,
21,0.05002455413341522,0.05000656098127365,0.050003424286842346,0.05000544339418411,0.050002988427877426,0.5499346256256104,0.050005290657281876,0.050007082521915436,0.050004586577415466,0.05000540614128113
22,,,,,,,,,,0.9509532451629639
23,0.020901227369904518,0.02090122550725937,0.02090122550725937,0.02090122550725937,0.020901229232549667,0.02090122550725937,0.02090122550725937,0.020901229232549667,0.8118889331817627,0.02090122550725937
24,,,,,,0.9419209957122803,,,,
25,0.010003858245909214,0.01000444870442152,0.010005045682191849,0.9099636077880859,0.01000298373401165,0.010005507618188858,0.010003038682043552,0.010003508068621159,0.01000306848436594,0.010004944168031216
26,,,,,0.33001184463500977,,0.4320254921913147,,,0.20939847826957703
27,,,0.9257634282112122,,,,0.05908394232392311,,,
28,0.025002459064126015,0.02500510960817337,0.025003798305988312,0.025006689131259918,0.02500222623348236,0.025008972734212875,0.774957001209259,0.02500544860959053,0.02500370889902115,0.025004569441080093
29,0.016671158373355865,0.01667071506381035,0.01667061075568199,0.016672274097800255,0.01667039655148983,0.8499552607536316,0.01667153649032116,0.016670970246195793,0.016672708094120026,0.01667441613972187
30,,,,0.219474196434021,,0.07784941047430038,0.6936624050140381,,,
31,0.025005873292684555,0.025006379932165146,0.025005552917718887,0.02501324750483036,0.025004563853144646,0.0250108502805233,0.7749386429786682,0.02500484138727188,0.025004573166370392,0.025005416944622993
32,0.027299653738737106,0.02729961834847927,0.027299612760543823,0.02729956991970539,0.027299702167510986,0.027299566194415092,0.027299586683511734,0.02729971334338188,0.02729968912899494,0.7543032765388489
33,,,0.25462788343429565,,,,,,,0.6921194195747375
34,,,0.6569710969924927,,,,0.3157605528831482,,,
