,0,1,2,3,4,5,6,7
0,0.781002938747406,0.03126798942685127,0.03128137066960335,0.03132259473204613,0.03126119449734688,0.031278759241104126,0.03128301352262497,0.03130214661359787
1,0.020980389788746834,0.02098138816654682,0.7544862031936646,0.020992672070860863,0.020993700250983238,0.11959227174520493,0.020988168194890022,0.02098519541323185
2,0.018038112670183182,0.018034109845757484,0.01803567074239254,0.018044892698526382,0.01803486794233322,0.8737351298332214,0.018041295930743217,0.018035929650068283
3,0.011414337903261185,0.6412014365196228,0.011401908472180367,0.29034027457237244,0.011407583020627499,0.011409975588321686,0.011419401504099369,0.011405030265450478
4,0.020844057202339172,0.020848490297794342,0.020856134593486786,0.020869530737400055,0.020845485851168633,0.8539907932281494,0.020866304636001587,0.0208792295306921
5,,,,0.4090084731578827,0.5792248249053955,,,
6,,,,,,0.9510233402252197,,
7,0.01143353246152401,0.6347703337669373,0.011431657709181309,0.011438832618296146,0.011438374407589436,0.011440341360867023,0.011430545710027218,0.2966163754463196
8,0.011396908201277256,0.17942175269126892,0.011387514881789684,0.011398614384233952,0.011393369175493717,0.49079832434654236,0.01139424741268158,0.272809237241745
9,0.06253910809755325,0.06251170486211777,0.06252408772706985,0.06269581615924835,0.06253018230199814,0.06258458644151688,0.5620805621147156,0.06253395229578018
10,0.025232704356312752,0.02523273415863514,0.025232717394828796,0.02523503638803959,0.8233687281608582,0.02523265965282917,0.02523268572986126,0.025232693180441856
11,,,,,0.5845956206321716,0.3707539141178131,,
12,0.012514511123299599,0.012520171701908112,0.012511678971350193,0.7032069563865662,0.012509608641266823,0.2216980755329132,0.012519764713943005,0.01251920871436596
13,0.03130275383591652,0.03128319978713989,0.0312948115170002,0.03130766749382019,0.03127957507967949,0.7808992266654968,0.03134554997086525,0.031287238001823425
14,0.02084137313067913,0.020840028300881386,0.02084534987807274,0.8540648221969604,0.020846011117100716,0.020862683653831482,0.020850908011198044,0.020848795771598816
15,0.031261321157217026,0.031265128403902054,0.03125898912549019,0.031265947967767715,0.03127286583185196,0.0312710665166378,0.03126570209860802,0.7811390161514282
16,0.8724129796028137,0.01822678931057453,0.018226761370897293,0.01822664961218834,0.018226709216833115,0.01822667196393013,0.018226714804768562,0.01822672225534916
17,,,0.17909032106399536,,,,,0.7972066402435303
18,0.017868833616375923,0.017872171476483345,0.01787225529551506,0.8748567700386047,0.017873045057058334,0.017893081530928612,0.017884640023112297,0.01787920854985714
19,,,,0.45572713017463684,0.04159540683031082,0.4948253929615021,,
20,0.041695334017276764,0.04169534146785736,0.04169533774256706,0.04169914871454239,0.7079436182975769,0.04179767146706581,0.04169534891843796,0.04177822172641754
21,,,,0.9667003750801086,,,,
22,,,0.24003346264362335,,,,0.7329848408699036,
23,0.0312797836959362,0.031276483088731766,0.031335409730672836,0.031382571905851364,0.780798614025116,0.03135533630847931,0.03127637505531311,0.031295426189899445
24,0.08560275286436081,,0.5944654941558838,0.2823786735534668,,,0.026132915169000626,
25,0.031295668333768845,0.031270209699869156,0.03126998990774155,0.780947744846344,0.03133249282836914,0.031302060931921005,0.0313127376139164,0.031269051134586334
26,0.49325108528137207,,,0.44898805022239685,,,,
27,0.06254774332046509,0.06254774332046509,0.06254774332046509,0.0625477284193039,0.06254773586988449,0.5619942545890808,0.06271927058696747,0.06254774332046509
28,,,,0.4593676030635834,0.493672251701355,,,
29,,,,,,0.5029945373535156,0.4765606224536896,
30,0.012570273131132126,0.012568512000143528,0.012565430253744125,0.012568697333335876,0.01256785448640585,0.012576580047607422,0.6654715538024902,0.25911104679107666
31,,,,0.04868873208761215,,0.9324743151664734,,
32,0.01787642017006874,0.017865832895040512,0.017867928370833397,0.017890319228172302,0.017864225432276726,0.01788894087076187,0.8748562932014465,0.017890047281980515
33,0.9020604491233826,0.01398069504648447,0.014032644219696522,0.013985720463097095,0.013981214724481106,0.013985252939164639,0.013983964920043945,0.013990048319101334
